Rank,Team,Name,Nr,Pos,Spiele,Assists
93,BFC Preussen II,Magnus Stahlberg,16,IV,12,0
94,SC Borsigwalde 1910,Marcel Bubner,19,LM,13,0
95,Berliner SC II,Linus Dersch,NA,ST,2,0
96,Köpenicker FC,Jonas Weigelt,8,IV,10,0
97,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,0
98,TSV Rudow Berlin,Martin Gromotka,44,TW,13,0
99,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,11,0
100,BFC Preussen II,Paul Miggel,8,LV,6,0
101,SV Stern Britz 1889,Andre Schulz,23,IV,13,0
102,SV Empor Berlin II,Daniel Alankus,NA,IV,1,0
103,FSV Berolina Stralau 1901,Daniel Fischer,19,LM,9,0
104,TSV Rudow Berlin,Alexander Wuthe,8,ZDM,12,0
105,BFC Meteor 06,Soner Demiryürek,21,ZM,6,0
106,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,6,0
107,SV Stern Britz 1889,Oguzhan Duman,19,ZOM,12,0
108,VfB Concordia Britz 1916,Le-Roy Da-Costa,9,ST,4,0
109,BSV Eintracht Mahlsdorf II,Kay Szczech,18,RM,10,0
110,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,7,0
111,BSV Al-Dersimspor,Patrick Boel,1,TW,8,0
112,BFC Preussen II,Malte Hartmann,31,TW,13,0
113,BFC Preussen II,Lukas Kohlmann,20,IV,14,0
114,BSV Al-Dersimspor,Milos Savkovic,8,LM,14,0
115,SC Borsigwalde 1910,Mahmoud Akkaoui,4,IV,4,0
116,SV Stern Britz 1889,Resul Hirik,NA,NA,0,0
117,SC Borsigwalde 1910,Tobias Knetsch,23,TW,3,0
118,TSV Rudow Berlin,Leonard Kirschner,NA,NA,1,0
119,BSV Eintracht Mahlsdorf II,Tom Greif,14,RV,4,0
120,Köpenicker FC,Till Dietrich,27,LV,13,0
121,BFC Preussen II,Yasin Demir,30,IV,9,0
122,BFC Preussen II,Rommel Abou-Chaker,13,ST,8,0
123,BFC Preussen II,Marcel Berner,15,RV,9,0
124,BFC Preussen II,Hugo Timur,7,ST,11,0
125,FSV Berolina Stralau 1901,Maximilian Weber,NA,ZM,1,0
126,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,3,0
127,VfB Concordia Britz 1916,Fabian Kolditz,13,NA,1,0
128,VfB Concordia Britz 1916,Patrick Wenke,29,IV,6,0
129,Berliner SV 1892,El-Amin Elsaadawi,17,ST,9,0
130,BSV Al-Dersimspor,Caglar Halici,NA,ST,1,0
131,BSV Al-Dersimspor,Hüseyin Ali Kaloglu,NA,IV,1,0
132,BSV Al-Dersimspor,Önder Senkaya,NA,NA,1,0
133,SC Borsigwalde 1910,Marcel Knaack,NA,ST,1,0
134,TSV Rudow Berlin,Patrick Maykowski,20,RM,16,0
135,VfB Concordia Britz 1916,Tim Wenke,5,IV,8,0
136,SV Stern Britz 1889,Philipp Kemkes,NA,NA,2,0
137,Berliner SC II,Nelson Antoniofrancisco,7,LM,6,0
138,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
139,BFC Meteor 06,Yusuf Abouri,NA,RV,4,0
140,SC Borsigwalde 1910,Kenneth Weise,49,IV,7,0
141,SV Stern Britz 1889,Fabio Zielske,NA,NA,0,0
142,SV Stern Britz 1889,Marcel Lieker,NA,NA,1,0
143,VfB Concordia Britz 1916,Robin Eschert,14,LV,4,0
144,BFC Preussen II,Dan Feldmann,NA,NA,2,0
145,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,ZM,12,0
146,Berliner SV 1892,Benjamin Schnack,NA,IV,2,0
147,Berliner SV 1892,Robin Wolff,25,ST,8,0
148,SV Stern Britz 1889,Dustin Sik,7,RM,13,0
149,Köpenicker FC,Kevin Wesolek,16,NA,2,0
150,SV Stern Britz 1889,Yusuf Yildirim,NA,ZDM,1,0
151,Köpenicker FC,Tom Nischwitz,5,IV,13,0
152,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
153,SV Stern Britz 1889,Bartosz Palubski,21,NA,0,0
154,Köpenicker FC,Philip Möhle,28,RV,9,0
155,BSV Al-Dersimspor,Aziz Ökten,NA,NA,0,0
156,VfB Concordia Britz 1916,Björn Röchert,30,IV,9,0
157,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,9,0
158,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,10,0
159,Berliner SV 1892,Karl Anker,8,IV,12,0
160,BFC Meteor 06,Bahadir Katirci,7,NA,3,0
161,SV Empor Berlin II,Daniel Schneidawind,13,IV,3,0
162,Berliner SC II,Noah Peter,12,ZM,9,0
163,SC Borsigwalde 1910,Antonio Ciao,22,ZDM,3,0
164,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,4,0
165,BSV Al-Dersimspor,Mustafa Arslan,1,TW,6,0
166,BFC Meteor 06,Ahmad Zahlan,6,ZDM,14,0
167,FC Internationale Berlin 1980,Antonio Boeddinghaus,6,IV,8,0
168,SV Stern Britz 1889,Marc Anthony Weisse,NA,ZM,1,0
169,Berliner SV 1892,Nikita Charkov,20,IV,12,0
170,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,13,0
171,BSV Eintracht Mahlsdorf II,Ian Kroh,NA,IV,1,0
172,VfB Concordia Britz 1916,Lionel Krampah,NA,ZM,1,0
173,BFC Preussen II,Romario Hartwig,NA,ST,1,0
174,Berliner SC II,Jakob Heilmann,2,LM,9,0
