Rank,Team,Name,Nr,Pos,Spiele,Assists
410,Berliner SV 1892,Philip Klimper,NA,NA,0,0
411,FC Internationale Berlin 1980,Giovanni Marigo,2,RV,16,0
412,VfB Concordia Britz 1916,Enes Noah Öztürk,18,RV,2,0
413,BFC Preussen II,Adam Lamkaddam,32,NA,1,0
414,VfB Concordia Britz 1916,Merdan Köse,4,IV,10,0
415,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,ST,8,0
416,Türkiyemspor Berlin,Erdem Celik,18,RM,4,0
417,SC Borsigwalde 1910,Philip Bartoschek,17,ZOM,10,0
418,BFC Preussen II,Jeff Nnaemeka-Chukwurah,28,ZOM,7,0
419,SV Empor Berlin II,Aaron Yusuff,NA,TW,8,0
420,BSV Eintracht Mahlsdorf II,Max Koyuncu,9,NA,2,0
421,BSV Eintracht Mahlsdorf II,Fabian Clemen,NA,NA,0,0
422,BSV Eintracht Mahlsdorf II,Carl Dopke,1,NA,0,0
423,FSV Berolina Stralau 1901,Yussef Jradi,11,ST,12,0
424,BFC Preussen II,Ali Hammoud,NA,RV,7,0
425,SC Borsigwalde 1910,Mohammed Yaqoobi,3,LV,13,0
426,BFC Preussen II,Maximilian Schatz,24,ZM,6,0
427,FC Viktoria 1889 Berlin II,Patrick Kühn,1,TW,12,0
428,BFC Preussen II,Leo Sommerfeld,NA,IV,1,0
429,SV Empor Berlin II,Alvenzio Ettah,19,ZM,12,0
430,Köpenicker FC,Florian Hildebrand,NA,NA,1,0
431,BSV Eintracht Mahlsdorf II,Loide Simao Macave,13,NA,3,0
432,Berliner SC II,Felix Klebe,26,RM,1,0
433,BFC Preussen II,Gani Gashi,33,RM,6,0
434,SC Borsigwalde 1910,Kai Neumann,21,ZM,5,0
435,SC Borsigwalde 1910,Eren Motuk,5,IV,12,0
436,SC Borsigwalde 1910,Elias Jamil Erisen,NA,LV,2,0
437,SV Stern Britz 1889,Joshua Ridzewski,NA,LM,1,0
438,FSV Berolina Stralau 1901,Phillipp Wegerich,NA,NA,0,0
439,SV Empor Berlin II,Milo Lippe,8,ZM,10,0
440,SV Empor Berlin II,Nico Bochnia,23,ST,7,0
441,SV Empor Berlin II,Emile Ako,NA,NA,2,0
442,SV Empor Berlin II,Leon Drannaschk,10,LM,14,0
443,BSV Al-Dersimspor,Merdie Tshondo,20,RV,5,0
444,SV Empor Berlin II,Robert Kurth,22,NA,3,0
445,FC Internationale Berlin 1980,Tiago de Sousa Oliveira,NA,NA,0,0
446,BFC Preussen II,Tiago de Sousa Oliveira,NA,NA,1,0
447,SV Empor Berlin II,Oskar Kühn,23,TW,2,0
448,BFC Preussen II,Atacan Özcan,22,LM,12,0
449,Berliner SV 1892,Linus Hechtfisch,23,TW,6,0
450,FC Internationale Berlin 1980,Matteo Topal,31,ZDM,12,0
451,SC Borsigwalde 1910,Hebun Aslan,NA,RV,1,0
452,Türkiyemspor Berlin,Hüseyin Tunay,NA,NA,0,0
453,BSV Eintracht Mahlsdorf II,Maximilian Widmer,NA,NA,5,0
454,Berliner SC II,Vincent Spiegel,15,IV,1,0
455,SC Borsigwalde 1910,Furkan Yildirim,13,ZDM,14,0
456,SV Empor Berlin II,Janne Henrik Bloch,33,TW,2,0
457,BSV Eintracht Mahlsdorf II,Leonhard Buchmann,14,NA,1,0
458,Türkiyemspor Berlin,Mustafa Kemal Karaman,11,LV,10,0
459,FC Viktoria 1889 Berlin II,Fonseca Pereira Mendes,25,RV,13,0
460,FC Viktoria 1889 Berlin II,Dmytro Karika,30,TW,3,0
461,BFC Preussen II,Arda Isik,NA,ST,2,0
462,Berliner SC II,Moritz Brune,17,NA,0,0
463,BFC Preussen II,Christian Müller,25,ZDM,8,0
464,Köpenicker FC,Dennis Bohnsack,9,ST,13,0
465,Köpenicker FC,Noah Maximilian Laske,19,RV,8,0
466,Berliner SC II,Yigit Öncü,24,NA,0,0
467,FC Internationale Berlin 1980,Nicolas Costa Echeverria,4,IV,14,0
468,SV Stern Britz 1889,Cliff Boanu,29,RM,13,0
469,BFC Meteor 06,Rene Fon Nkafu,77,NA,0,0
470,Köpenicker FC,Oskar Klauke,20,LV,7,0
471,FC Internationale Berlin 1980,Juan José Swett Barros,23,NA,0,0
472,FC Viktoria 1889 Berlin II,Nana Nkrumah,12,ST,8,0
473,SV Stern Britz 1889,Jonas Lück,18,TW,6,0
474,FSV Berolina Stralau 1901,Cihat Yildirim,NA,ZDM,0,0
475,Türkiyemspor Berlin,Kemo Andresen,NA,NA,0,0
476,BFC Preussen II,Kemo Andresen,NA,NA,1,0
477,TSV Rudow Berlin,Mert Arslan,NA,TW,0,0
478,FC Internationale Berlin 1980,Dominic Kranz,7,LV,12,0
479,BSV Eintracht Mahlsdorf II,Carl-Lennart Stöver,19,LV,12,0
480,Köpenicker FC,Marques Brunow,NA,NA,2,0
481,Türkiyemspor Berlin,Yeifre Diaz Chacon,NA,NA,1,0
482,VfB Concordia Britz 1916,Mehmet Akif Bakiroglugil,18,NA,2,0
483,TSV Rudow Berlin,Abdullah Bayram,21,LM,13,0
484,Berliner SC II,Simon Riedel,14,RV,11,0
485,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,0
486,SV Stern Britz 1889,Matias Ignacio Bottiglieri,NA,NA,0,0
487,FC Internationale Berlin 1980,Lancine Braunert,NA,NA,0,0
488,BFC Preussen II,Theo Kagoue,45,RM,5,0
489,Berliner SV 1892,Ali Ismail Gashi,12,RM,5,0
490,Türkiyemspor Berlin,Ali Ismail Gashi,12,RM,1,0
491,VfB Concordia Britz 1916,Ilai Harder,NA,NA,0,0
492,SC Borsigwalde 1910,Joao Victor Braga De Souza,2,IV,15,0
493,SV Empor Berlin II,Julian Duczmal,NA,ZM,4,0
494,Köpenicker FC,Luca Munsky,3,LV,12,0
495,SC Borsigwalde 1910,Mehdi Bencheikh,NA,IV,4,0
496,SC Borsigwalde 1910,Oskar Denis Cuesta,11,NA,6,0
497,SV Empor Berlin II,Billy Bradley Tuckerman,NA,RM,4,0
498,FC Internationale Berlin 1980,Cristobal Del Fierro,1,NA,12,0
499,FC Internationale Berlin 1980,Ryan Max Robert French,14,LM,14,0
500,FC Viktoria 1889 Berlin II,Ognyan Stefanov,16,NA,6,0
501,Köpenicker FC,Osben-Dario Ondo Mangue,2,NA,8,0
502,SV Empor Berlin II,Rafael Mentrup,21,LM,13,0
503,SV Empor Berlin II,Laszlo Braun,22,ST,9,0
504,SV Empor Berlin II,Daniil Savenko,18,NA,4,0
505,FC Internationale Berlin 1980,Maximilian De Rosnay,17,NA,8,0
506,FC Viktoria 1889 Berlin II,Emmanuel Sokowonci Daniel,32,NA,0,0
507,Türkiyemspor Berlin,Mohamad Faramarzi,20,RM,11,0
508,FC Internationale Berlin 1980,Roger Gonzalez I Hermosa,40,TW,4,0
509,SV Empor Berlin II,Luis Ploschenz,NA,RM,1,0
510,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,10,0
511,FC Internationale Berlin 1980,Maximilian Louis Alexis Caspar,NA,ST,1,0
512,Berliner SC II,Ezher Akbulut,23,LM,13,0
513,FSV Berolina Stralau 1901,Adrian Welch,7,ST,5,0
514,SC Borsigwalde 1910,Yannick Djekonbe,20,NA,2,0
515,BSV Al-Dersimspor,Argjent Krasniqi,12,ST,13,0
516,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,18,ZOM,15,0
517,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,30,LM,7,0
518,FC Internationale Berlin 1980,Sebastian Basaure Larrain,NA,NA,1,0
519,FSV Berolina Stralau 1901,Adnan Shah,NA,NA,0,0
520,BFC Meteor 06,Leon Splanemann,NA,NA,0,0
521,FC Viktoria 1889 Berlin II,Daniel Hölbling,15,ST,4,0
522,VfB Concordia Britz 1916,Lukas Czernitzky,12,NA,0,0
523,VfB Concordia Britz 1916,Piet Kühn,21,TW,13,0
524,SC Borsigwalde 1910,Adam Barnat,6,LM,4,0
525,VfB Concordia Britz 1916,Philip Wieser,17,ZM,12,0
526,VfB Concordia Britz 1916,Omar Mohamed Ibrahim Hassan Ali,NA,ST,1,0
527,SV Stern Britz 1889,Timo Brei,NA,IV,4,0
528,Berliner SV 1892,Lewi Dawit Molalegn,15,ST,13,0
529,TSV Rudow Berlin,Pascal Ulrich,NA,NA,0,0
530,Berliner SC II,Eric Ekandille,28,RM,2,0
531,Berliner SC II,Eike Barth,25,ST,5,0
532,Köpenicker FC,Anton Louis Süring,NA,LV,2,0
533,Köpenicker FC,Lennart Will,NA,NA,1,0
534,FC Internationale Berlin 1980,Jamie Dell Bullock,3,LV,12,0
535,FC Internationale Berlin 1980,Joel Broughton Weeks,NA,NA,1,0
536,SV Empor Berlin II,Keita Udo,12,ZM,8,0
537,TSV Rudow Berlin,Süleyman Aktas,29,TW,8,0
538,TSV Rudow Berlin,Ahmad Haj Youssef,19,LM,13,0
539,FC Internationale Berlin 1980,Zachariah Mohamed Dukuly,21,NA,2,0
540,Köpenicker FC,Luca Seeber,12,TW,3,0
541,Köpenicker FC,Tobias Brandt,7,RM,10,0
542,SV Empor Berlin II,Laurens Cerny,20,ZM,13,0
543,FC Viktoria 1889 Berlin II,Sebastian Naicker,31,NA,3,0
544,FC Internationale Berlin 1980,Marlon Mayen Guzman,16,ZDM,7,0
545,VfB Concordia Britz 1916,Nicht öffentlich,NA,NA,0,0
546,Köpenicker FC,Felix Wittenburg,24,ZM,7,0
547,Türkiyemspor Berlin,Mohamad El-Ali,42,NA,2,0
548,VfB Concordia Britz 1916,Joao Victor Souza Rosa,24,NA,8,0
549,TSV Rudow Berlin,Leon Merke,NA,TW,1,0
550,Berliner SC II,Konstantin Joseski,NA,RV,5,0
551,Berliner SC II,Alexander Lorenz,11,ZM,4,0
552,FSV Berolina Stralau 1901,Denys Kovtun,NA,NA,0,0
553,Köpenicker FC,Iven Wiecker,NA,NA,2,0
554,SC Borsigwalde 1910,Sadjad Rassuli,NA,NA,2,0
555,FC Internationale Berlin 1980,Nikita Ovcharov,NA,NA,1,0
556,SC Borsigwalde 1910,Mohammad Kassem,NA,TW,2,0
557,Türkiyemspor Berlin,Manuel Pereira,NA,NA,1,0
558,Türkiyemspor Berlin,Rafael Pereira,NA,NA,1,0
559,SC Borsigwalde 1910,Johan Ferney Marin Macareno,NA,NA,0,0
560,SV Stern Britz 1889,John Coker,NA,NA,1,0
