Rank,Team,Name,Nr,Pos,Spiele,Assists
93,BSV Eintracht Mahlsdorf II,Loide Simao Macave,13,ST,4,1
94,Berliner SC II,Erdem Yilmazcelik,NA,NA,1,1
95,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,24,1
96,BFC Meteor 06,Eriseld Tafilaj,69,NA,17,1
97,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,1
98,FC Viktoria 1889 Berlin II,Maciej Macias,24,ZOM,11,1
99,SV Stern Britz 1889,Cliff Boanu,29,LM,22,1
100,Türkiyemspor Berlin,Kemo Andresen,NA,RM,8,1
101,Türkiyemspor Berlin,Ali Ismail Gashi,12,ZDM,11,1
102,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,22,1
103,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,20,1
104,BSV Eintracht Mahlsdorf II,Kilian Oliver Reinke,21,LV,23,1
105,BFC Meteor 06,Farouk Ben Mustapha,18,ST,9,1
106,Berliner SC II,Eric Ekandille,28,RM,5,1
107,Berliner SC II,Eike Barth,25,ST,9,1
108,Berliner SC II,Alexander Lorenz,11,ST,11,1
109,Berliner SC II,Nino Zamorano,22,NA,5,1
110,BSV Al-Dersimspor,Max Kruse,30,NA,1,0
111,Türkiyemspor Berlin,Enes Uzun,25,RM,21,0
112,BFC Preussen II,Moris Fikic,10,ZOM,7,0
113,BFC Meteor 06,Selvedin Begzadic,22,TW,20,0
114,Berliner SC II,Jannis Gabrielides,NA,NA,1,0
115,BSV Al-Dersimspor,Karsten Schleifring,25,ST,10,0
116,BFC Preussen II,Vahit Engin,11,NA,7,0
117,Türkiyemspor Berlin,Kenan Demir,3,ZDM,21,0
118,Berliner SV 1892,Hendrik Lüttschwager,1,TW,21,0
119,BSV Al-Dersimspor,Kerem Filiz,NA,IV,7,0
120,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,9,0
121,TSV Rudow Berlin,Lucas Robbin Bähr,NA,IV,7,0
122,SV Empor Berlin II,Maurice Peitz,NA,IV,1,0
123,Berliner SC II,Nicolas Wolski,8,RV,12,0
124,Köpenicker FC,Alexander Foth,11,RM,13,0
125,BSV Al-Dersimspor,Yasin Baki,NA,TW,2,0
126,BFC Preussen II,Levent Mucuk,55,IV,20,0
127,Berliner SV 1892,Nick Bechler,27,IV,22,0
128,TSV Rudow Berlin,Dmitri Zabavin,1,TW,3,0
129,SC Borsigwalde 1910,Marcel Bubner,19,LM,21,0
130,Köpenicker FC,Jonas Weigelt,8,IV,14,0
131,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,0
132,TSV Rudow Berlin,Martin Gromotka,44,TW,23,0
133,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,22,0
134,BFC Preussen II,Paul Miggel,8,LV,8,0
135,SV Stern Britz 1889,Andre Schulz,23,IV,23,0
136,SV Empor Berlin II,Daniel Alankus,NA,IV,2,0
137,FSV Berolina Stralau 1901,Daniel Fischer,19,LV,16,0
138,TSV Rudow Berlin,Alexander Wuthe,8,ZDM,20,0
139,BFC Meteor 06,Soner Demiryürek,21,ZM,6,0
140,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,12,0
141,SV Stern Britz 1889,Oguzhan Duman,19,ZOM,19,0
142,SV Empor Berlin II,Dennis Wegner,NA,RV,1,0
143,VfB Concordia Britz 1916,Le-Roy Da-Costa,9,ST,6,0
144,BSV Eintracht Mahlsdorf II,Kay Szczech,18,ZM,21,0
145,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,9,0
146,BSV Al-Dersimspor,Patrick Boel,1,TW,19,0
147,BFC Preussen II,Malte Hartmann,31,TW,16,0
148,BFC Preussen II,Lukas Kohlmann,20,IV,21,0
149,BSV Al-Dersimspor,Milos Savkovic,8,LM,23,0
150,SC Borsigwalde 1910,Mahmoud Akkaoui,4,IV,4,0
151,SV Stern Britz 1889,Resul Hirik,NA,ST,6,0
152,SC Borsigwalde 1910,Tobias Knetsch,23,TW,13,0
153,TSV Rudow Berlin,Leonard Kirschner,NA,ST,5,0
154,BSV Eintracht Mahlsdorf II,Tom Greif,14,RV,5,0
155,Köpenicker FC,Till Dietrich,27,LV,21,0
156,VfB Concordia Britz 1916,Dennis Sarnewski,NA,NA,1,0
157,BFC Preussen II,Yasin Demir,30,ZDM,18,0
158,BFC Preussen II,Nicolas Michalke,NA,RV,3,0
159,BFC Preussen II,Rommel Abou-Chaker,13,ST,12,0
160,BFC Preussen II,Marcel Berner,15,RV,17,0
