Rank,Team,Name,Nr,Pos,Spiele,Assists
412,BSV Eintracht Mahlsdorf II,Leon Haake,NA,TW,1,0
413,TSV Rudow Berlin,Eliot Tolaj,15,IV,16,0
414,TSV Rudow Berlin,Nana Kwame Badu-Amoah,7,LM,17,0
415,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,12,NA,15,0
416,SV Empor Berlin II,Kolja Gramse,NA,NA,1,0
417,BFC Meteor 06,Leo Suilmann,1,TW,8,0
418,FC Internationale Berlin 1980,Jim Bratschke,77,RM,7,0
419,SV Empor Berlin II,Niclas Nixdorf,3,IV,18,0
420,SV Empor Berlin II,Jannick Wollmann,NA,IV,6,0
421,Berliner SC II,Paul Schlicht,1,TW,16,0
422,BSV Eintracht Mahlsdorf II,Tami Benkert,NA,ZM,1,0
423,SV Stern Britz 1889,Benis Leci,30,IV,21,0
424,SV Stern Britz 1889,Leonit Leci,17,IV,15,0
425,Köpenicker FC,Felix Hartmann,15,TW,24,0
426,BSV Eintracht Mahlsdorf II,Sune Tore Schröter,NA,NA,2,0
427,FC Viktoria 1889 Berlin II,Alican Ali,29,ST,13,0
428,FC Viktoria 1889 Berlin II,Leart Halimi,27,RM,3,0
429,Türkiyemspor Berlin,Deren Yoldas Emre,36,LV,19,0
430,SV Empor Berlin II,Suraj Faizi,NA,ST,9,0
431,BSV Eintracht Mahlsdorf II,Tom Bothe,12,IV,15,0
432,BSV Eintracht Mahlsdorf II,Lukas Otto,NA,IV,3,0
433,FC Internationale Berlin 1980,Bryson Rodney Pink,NA,NA,2,0
434,Köpenicker FC,Alieu Nyassi,NA,NA,2,0
435,Türkiyemspor Berlin,Mustafa Kenan Yigitoglu,NA,IV,12,0
436,Berliner SC II,Tom Köster,NA,TW,1,0
437,BSV Al-Dersimspor,William Essel,9,LM,15,0
438,BFC Preussen II,Lasse Engelsing,12,LV,19,0
439,BSV Eintracht Mahlsdorf II,Noah Wulf,NA,IV,1,0
440,FSV Berolina Stralau 1901,Andreas Friese,23,TW,18,0
441,Köpenicker FC,Nicolas Tauschwitz,10,LM,19,0
442,FC Viktoria 1889 Berlin II,Hadi El-Hayek,23,NA,2,0
443,Türkiyemspor Berlin,Koray Aktas,21,TW,10,0
444,Berliner SC II,Zahm Rad,NA,ZM,2,0
445,FC Viktoria 1889 Berlin II,Ismail Bendjelloul,5,ZDM,19,0
446,VfB Concordia Britz 1916,Felix Weglöhner,6,RM,23,0
447,VfB Concordia Britz 1916,Burak Tatli,44,ST,3,0
448,BSV Al-Dersimspor,Kaan Ucbaglar,44,LM,9,0
449,FC Internationale Berlin 1980,Kaan Ucbaglar,44,LM,6,0
450,SV Stern Britz 1889,Ahmed Saygi,NA,NA,1,0
451,BFC Preussen II,Marko Fischer,4,LV,2,0
452,FC Internationale Berlin 1980,Marko Fischer,4,LV,7,0
453,Türkiyemspor Berlin,Deniz Karakus,32,IV,4,0
454,BFC Meteor 06,Tyrone Mengesha,NA,NA,4,0
455,BFC Preussen II,Tim Henseler,NA,NA,4,0
456,Türkiyemspor Berlin,Görkem Tozlu,NA,IV,7,0
457,SC Borsigwalde 1910,Ahmad Chehade,NA,LV,8,0
458,Berliner SV 1892,Philip Klimper,NA,NA,1,0
459,FC Internationale Berlin 1980,Giovanni Marigo,2,RV,26,0
460,VfB Concordia Britz 1916,Enes Noah Öztürk,18,RV,2,0
461,BFC Preussen II,Adam Lamkaddam,32,NA,1,0
462,VfB Concordia Britz 1916,Merdan Köse,4,RV,19,0
463,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,ST,16,0
464,Türkiyemspor Berlin,Erdem Celik,18,RM,4,0
465,SC Borsigwalde 1910,Philip Bartoschek,17,ZOM,11,0
466,BFC Preussen II,Jeff Nnaemeka-Chukwurah,28,ZDM,15,0
467,SV Empor Berlin II,Aaron Yusuff,NA,TW,14,0
468,BSV Eintracht Mahlsdorf II,Max Koyuncu,9,NA,2,0
469,BSV Eintracht Mahlsdorf II,Fabian Clemen,NA,NA,0,0
470,BSV Eintracht Mahlsdorf II,Carl Dopke,1,TW,4,0
471,FSV Berolina Stralau 1901,Yussef Jradi,11,LM,22,0
472,BFC Preussen II,Ali Hammoud,NA,RV,11,0
473,SC Borsigwalde 1910,Mohammed Yaqoobi,3,LV,21,0
474,BFC Preussen II,Maximilian Schatz,24,ZM,6,0
475,FC Viktoria 1889 Berlin II,Patrick Kühn,1,TW,23,0
476,BFC Preussen II,Leo Sommerfeld,NA,IV,2,0
477,SV Empor Berlin II,Alvenzio Ettah,19,ZM,21,0
478,Köpenicker FC,Florian Hildebrand,NA,NA,1,0
479,Berliner SC II,Felix Klebe,26,RM,4,0
480,Berliner SC II,Fabian Niedenhoff,NA,ZM,1,0
481,BFC Preussen II,Gani Gashi,33,ZDM,6,0
482,SC Borsigwalde 1910,Kai Neumann,21,ZM,6,0
483,SC Borsigwalde 1910,Eren Motuk,5,IV,18,0
484,SC Borsigwalde 1910,Elias Jamil Erisen,NA,LV,2,0
485,SV Stern Britz 1889,Joshua Ridzewski,NA,LM,1,0
486,SV Empor Berlin II,Milo Lippe,8,ZM,19,0
487,SV Empor Berlin II,Nico Bochnia,23,ST,14,0
488,SV Empor Berlin II,Emile Ako,NA,RM,8,0
489,SV Empor Berlin II,Leon Drannaschk,10,LM,18,0
490,BSV Al-Dersimspor,Ryan Smith Mabom Njiki,NA,ZDM,7,0
491,BSV Eintracht Mahlsdorf II,Benjamin Mohwinkel,NA,TW,1,0
492,BSV Al-Dersimspor,Merdie Tshondo,20,RV,5,0
493,SV Empor Berlin II,Vincent Lange,NA,IV,1,0
494,SV Empor Berlin II,Robert Kurth,22,NA,3,0
495,FC Internationale Berlin 1980,Tiago de Sousa Oliveira,NA,NA,6,0
496,BFC Preussen II,Tiago de Sousa Oliveira,NA,NA,1,0
497,SV Empor Berlin II,Oskar Kühn,23,TW,9,0
498,BFC Preussen II,Atacan Özcan,22,RV,17,0
499,Berliner SV 1892,Linus Hechtfisch,23,TW,6,0
500,FC Internationale Berlin 1980,Matteo Topal,31,ZDM,21,0
501,SC Borsigwalde 1910,Hebun Aslan,NA,RV,3,0
502,SC Borsigwalde 1910,Wilfred Arnaud Njankou Tchouwa,NA,NA,4,0
503,Türkiyemspor Berlin,Hüseyin Tunay,NA,LM,2,0
504,BSV Eintracht Mahlsdorf II,Maximilian Widmer,NA,LM,13,0
505,Berliner SC II,Vincent Spiegel,15,IV,1,0
506,SC Borsigwalde 1910,Furkan Yildirim,13,ZDM,20,0
507,SV Empor Berlin II,Janne Henrik Bloch,33,TW,2,0
508,BSV Eintracht Mahlsdorf II,Leonhard Buchmann,14,NA,1,0
509,Türkiyemspor Berlin,Mustafa Kemal Karaman,11,LV,17,0
510,FC Viktoria 1889 Berlin II,Alexander Dikarev,NA,ZM,1,0
511,FC Internationale Berlin 1980,Saif Merabti,NA,RM,7,0
512,FC Viktoria 1889 Berlin II,Fonseca Pereira Mendes,25,RV,23,0
513,FC Viktoria 1889 Berlin II,Dmytro Karika,30,TW,3,0
514,BFC Preussen II,Arda Isik,NA,LM,11,0
515,Berliner SC II,Moritz Brune,17,NA,0,0
516,BSV Eintracht Mahlsdorf II,Yulian Andres Cordoba Moreno,NA,NA,3,0
517,BFC Preussen II,Christian Müller,25,ZDM,14,0
518,Köpenicker FC,Dennis Bohnsack,9,ST,23,0
519,Köpenicker FC,Noah Maximilian Laske,19,RV,14,0
520,Berliner SC II,Yigit Öncü,24,ZM,4,0
521,FC Internationale Berlin 1980,Nicolas Costa Echeverria,4,IV,22,0
522,Köpenicker FC,Oskar Klauke,20,LV,13,0
523,FC Internationale Berlin 1980,Juan José Swett Barros,23,NA,0,0
524,FC Viktoria 1889 Berlin II,Nana Nkrumah,12,ST,14,0
525,SV Stern Britz 1889,Jonas Lück,18,TW,10,0
526,FSV Berolina Stralau 1901,Cihat Yildirim,NA,ZDM,0,0
527,BFC Preussen II,Kemo Andresen,NA,RM,1,0
528,TSV Rudow Berlin,Mert Arslan,NA,TW,0,0
529,FC Internationale Berlin 1980,Dominic Kranz,7,LM,18,0
530,BSV Eintracht Mahlsdorf II,Carl-Lennart Stöver,19,LV,21,0
531,Köpenicker FC,Marques Brunow,NA,RV,7,0
532,Türkiyemspor Berlin,Yeifre Diaz Chacon,NA,NA,1,0
533,VfB Concordia Britz 1916,Mehmet Akif Bakiroglugil,18,NA,2,0
534,TSV Rudow Berlin,Abdullah Bayram,21,LM,22,0
535,Berliner SC II,Simon Riedel,14,RV,21,0
536,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,0
537,FC Internationale Berlin 1980,Jacques Kahra,NA,IV,1,0
538,SV Stern Britz 1889,Matias Ignacio Bottiglieri,NA,ST,6,0
539,FC Internationale Berlin 1980,Lancine Braunert,NA,NA,0,0
540,BFC Preussen II,Theo Kagoue,45,RM,14,0
541,Berliner SV 1892,Ali Ismail Gashi,12,ZDM,5,0
542,VfB Concordia Britz 1916,Ilai Harder,NA,NA,0,0
543,SC Borsigwalde 1910,Joao Victor Braga De Souza,2,IV,15,0
544,SV Empor Berlin II,Julian Duczmal,NA,ZM,4,0
545,Köpenicker FC,Luca Munsky,3,LV,21,0
546,SC Borsigwalde 1910,Mehdi Bencheikh,NA,IV,4,0
547,SC Borsigwalde 1910,Oskar Denis Cuesta,11,NA,8,0
548,SV Empor Berlin II,Billy Bradley Tuckerman,NA,RM,7,0
549,FC Internationale Berlin 1980,Cristobal Del Fierro,1,NA,22,0
550,FC Internationale Berlin 1980,Ryan Max Robert French,14,RM,21,0
551,FC Viktoria 1889 Berlin II,Ognyan Stefanov,16,NA,8,0
552,Köpenicker FC,Osben-Dario Ondo Mangue,2,NA,11,0
553,SV Empor Berlin II,Rafael Mentrup,21,LM,21,0
554,SV Empor Berlin II,Laszlo Braun,22,LM,14,0
555,SV Empor Berlin II,Daniil Savenko,18,NA,4,0
556,FC Internationale Berlin 1980,Maximilian De Rosnay,17,NA,9,0
557,FC Viktoria 1889 Berlin II,Emmanuel Sokowonci Daniel,32,NA,0,0
558,BFC Preussen II,Tarkan Taskiran,NA,IV,1,0
559,Türkiyemspor Berlin,Mohamad Faramarzi,20,RM,14,0
560,BFC Preussen II,Baran Daskan,NA,IV,1,0
561,FC Internationale Berlin 1980,Roger Gonzalez Hermosa,40,TW,6,0
562,SV Empor Berlin II,Luis Ploschenz,NA,RM,6,0
563,Berliner SC II,Efe Gültekin,NA,NA,1,0
564,FC Internationale Berlin 1980,Maximilian Louis Alexis Caspar de Rosnay,NA,NA,7,0
565,Berliner SC II,Ezher Akbulut,23,LM,24,0
566,FSV Berolina Stralau 1901,Adrian Welch,7,ST,7,0
567,SC Borsigwalde 1910,Yannick Djekonbe,20,NA,2,0
568,BSV Al-Dersimspor,Argjent Krasniqi,12,ST,24,0
569,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,18,ZOM,19,0
570,BSV Eintracht Mahlsdorf II,Artur Reder,NA,NA,2,0
571,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,30,LM,7,0
572,FC Internationale Berlin 1980,Sebastian Basaure Larrain,NA,NA,1,0
573,FSV Berolina Stralau 1901,Adnan Shah,NA,NA,0,0
574,BFC Meteor 06,Leon Splanemann,NA,NA,0,0
575,FC Viktoria 1889 Berlin II,Daniel Hölbling,15,ST,4,0
576,VfB Concordia Britz 1916,Lukas Czernitzky,12,TW,2,0
577,VfB Concordia Britz 1916,Piet Kühn,21,TW,24,0
578,SC Borsigwalde 1910,Adam Barnat,6,LM,12,0
579,VfB Concordia Britz 1916,Philip Wieser,17,ZM,20,0
580,FC Viktoria 1889 Berlin II,Minyoung Lee,NA,NA,1,0
581,VfB Concordia Britz 1916,Omar Mohamed Ibrahim Hassan Ali,NA,ST,11,0
582,SV Stern Britz 1889,Timo Brei,NA,IV,4,0
583,Berliner SV 1892,Lewi Dawit Molalegn,15,ST,13,0
584,TSV Rudow Berlin,Pascal Ulrich,NA,NA,0,0
585,Köpenicker FC,Anton Louis Süring,NA,LV,2,0
586,Köpenicker FC,Lennart Will,NA,NA,2,0
587,FC Internationale Berlin 1980,Jamie Dell Bullock,3,LV,18,0
588,FC Internationale Berlin 1980,Joel Broughton Weeks,NA,NA,1,0
589,SV Empor Berlin II,Keita Udo,12,ZM,9,0
590,TSV Rudow Berlin,Süleyman Aktas,29,TW,11,0
591,TSV Rudow Berlin,Ahmad Haj Youssef,19,RM,24,0
592,FC Internationale Berlin 1980,Zachariah Mohamed Dukuly,21,NA,4,0
593,Köpenicker FC,Luca Seeber,12,TW,6,0
594,Köpenicker FC,Tobias Brandt,7,RM,19,0
595,SV Empor Berlin II,Laurens Cerny,20,ZM,20,0
596,FC Viktoria 1889 Berlin II,Sebastian Naicker,31,NA,3,0
597,FC Internationale Berlin 1980,Marlon Mayen Guzman,16,LM,13,0
598,VfB Concordia Britz 1916,Nicht öffentlich,NA,NA,5,0
599,Köpenicker FC,Felix Wittenburg,24,ZM,17,0
600,Türkiyemspor Berlin,Mohamad El-Ali,42,NA,2,0
601,VfB Concordia Britz 1916,Joao Victor Souza Rosa,24,NA,17,0
602,TSV Rudow Berlin,Leon Merke,NA,TW,1,0
603,Berliner SC II,Konstantin Joseski,NA,RV,5,0
604,Köpenicker FC,Iven Wiecker,NA,IV,5,0
605,SC Borsigwalde 1910,Sadjad Rassuli,NA,ZDM,6,0
606,FC Internationale Berlin 1980,Nikita Ovcharov,NA,NA,2,0
607,SC Borsigwalde 1910,Mohammad Kassem,NA,TW,4,0
608,Türkiyemspor Berlin,Manuel Pereira,NA,NA,1,0
609,Türkiyemspor Berlin,Rafael Pereira,NA,NA,1,0
610,SC Borsigwalde 1910,Johan Ferney Marin Macareno,NA,NA,0,0
611,SV Empor Berlin II,Tim Fechtner,NA,NA,3,0
612,SV Stern Britz 1889,John Coker,NA,ST,7,0
613,TSV Rudow Berlin,Aron Murseli,NA,LM,7,0
614,Berliner SC II,David Omilani,NA,IV,1,0
