Rank,Team,Name,Nr,Pos,Spiele,Assists
82,BFC Meteor 06,Fredy Balde,8,LM,8,1
83,Berliner SC II,Nikolaos Kaggelidids,3,LV,20,1
84,FC Viktoria 1889 Berlin II,David Nagel,4,IV,11,1
85,BSV Eintracht Mahlsdorf II,Marius Schreiber,8,LV,1,1
86,BFC Meteor 06,Lennart Nerlich,5,IV,26,1
87,FC Viktoria 1889 Berlin II,Jeong Chaehyun,11,RM,16,1
88,BSV Eintracht Mahlsdorf II,Marvin Müller,NA,ZDM,1,1
89,Berliner SC II,Ben Fidanboy,28,RV,6,1
90,Berliner SC II,Luca Raoul Al-Habash,NA,RM,3,1
91,FSV Berolina Stralau 1901,Ali Esweiei,NA,LM,7,1
92,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,8,1
93,FC Viktoria 1889 Berlin II,Justin Thiele,6,IV,23,1
94,FC Viktoria 1889 Berlin II,Konstantin- Alexander Westhäußer,13,RV,24,1
95,SV Stern Britz 1889,Miran Aykus,5,IV,10,1
96,SV Stern Britz 1889,Shaker Shawrdi,20,LM,20,1
97,BFC Preussen II,Lucky Ugbogbo,NA,RM,14,1
98,BSV Eintracht Mahlsdorf II,Loide Simao Macave,13,ST,4,1
99,Berliner SC II,Erdem Yilmazcelik,NA,NA,1,1
100,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,25,1
101,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,1
102,FC Viktoria 1889 Berlin II,Maciej Macias,24,ZOM,11,1
103,Berliner SC II,Yigit Öncü,24,ZM,5,1
104,SV Stern Britz 1889,Cliff Boanu,29,LM,24,1
105,Türkiyemspor Berlin,Kemo Andresen,NA,RM,8,1
106,Türkiyemspor Berlin,Ali Ismail Gashi,12,ZDM,13,1
107,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,23,1
108,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,20,1
109,BSV Eintracht Mahlsdorf II,Kilian Oliver Reinke,21,LV,24,1
110,BFC Meteor 06,Farouk Ben Mustapha,18,ST,9,1
111,Berliner SC II,Eric Ekandille,28,RM,6,1
112,Berliner SC II,Eike Barth,25,ST,9,1
113,Berliner SC II,Nino Zamorano,22,NA,5,1
114,BSV Al-Dersimspor,Max Kruse,30,NA,1,0
115,Türkiyemspor Berlin,Enes Uzun,25,RM,23,0
116,BFC Preussen II,Moris Fikic,10,ZOM,7,0
117,BFC Meteor 06,Selvedin Begzadic,22,TW,22,0
118,Berliner SC II,Jannis Gabrielides,NA,NA,1,0
119,BSV Al-Dersimspor,Karsten Schleifring,25,ST,10,0
120,BFC Preussen II,Vahit Engin,11,NA,7,0
121,Türkiyemspor Berlin,Kenan Demir,3,ZDM,21,0
122,Berliner SV 1892,Hendrik Lüttschwager,1,TW,22,0
123,BSV Al-Dersimspor,Kerem Filiz,NA,IV,7,0
124,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,10,0
125,TSV Rudow Berlin,Lucas Robbin Bähr,NA,IV,10,0
126,SV Empor Berlin II,Maurice Peitz,NA,IV,1,0
127,Berliner SC II,Nicolas Wolski,8,RV,12,0
128,Köpenicker FC,Alexander Foth,11,RM,13,0
129,BSV Al-Dersimspor,Yasin Baki,NA,TW,2,0
130,BFC Preussen II,Levent Mucuk,55,IV,21,0
131,Berliner SV 1892,Nick Bechler,27,IV,22,0
132,TSV Rudow Berlin,Dmitri Zabavin,1,TW,3,0
133,SC Borsigwalde 1910,Marcel Bubner,19,LM,22,0
134,Köpenicker FC,Jonas Weigelt,8,IV,14,0
135,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,0
136,TSV Rudow Berlin,Martin Gromotka,44,TW,25,0
137,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,23,0
138,BFC Preussen II,Paul Miggel,8,LV,9,0
139,SV Stern Britz 1889,Andre Schulz,23,IV,25,0
140,SV Empor Berlin II,Daniel Alankus,NA,IV,2,0
141,FSV Berolina Stralau 1901,Daniel Fischer,19,LV,17,0
142,TSV Rudow Berlin,Alexander Wuthe,8,ZDM,23,0
143,BFC Meteor 06,Soner Demiryürek,21,ZM,6,0
144,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,12,0
145,SV Stern Britz 1889,Oguzhan Duman,19,ZOM,20,0
146,SV Empor Berlin II,Dennis Wegner,NA,RV,1,0
147,VfB Concordia Britz 1916,Le-Roy Da-Costa,9,ST,7,0
148,BSV Eintracht Mahlsdorf II,Kay Szczech,18,ZM,22,0
149,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,9,0
150,BSV Al-Dersimspor,Patrick Boel,1,TW,21,0
151,BFC Preussen II,Malte Hartmann,31,TW,16,0
152,BFC Preussen II,Lukas Kohlmann,20,IV,21,0
153,BSV Al-Dersimspor,Milos Savkovic,8,LM,25,0
154,SC Borsigwalde 1910,Mahmoud Akkaoui,4,IV,4,0
155,SV Stern Britz 1889,Resul Hirik,NA,RM,8,0
156,SC Borsigwalde 1910,Tobias Knetsch,23,TW,13,0
157,TSV Rudow Berlin,Leonard Kirschner,NA,ST,6,0
158,BSV Eintracht Mahlsdorf II,Tom Greif,14,RV,5,0
159,Köpenicker FC,Till Dietrich,27,LV,22,0
160,VfB Concordia Britz 1916,Dennis Sarnewski,NA,NA,1,0
161,BFC Preussen II,Yasin Demir,30,ZDM,19,0
162,BFC Preussen II,Nicolas Michalke,NA,RV,3,0
163,BFC Preussen II,Rommel Abou-Chaker,13,ST,12,0
164,BFC Preussen II,Marcel Berner,15,RV,17,0
165,BFC Preussen II,Julian von Gliszczynski,NA,NA,3,0
166,BFC Preussen II,Hugo Timur,7,ST,16,0
167,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,9,0
168,VfB Concordia Britz 1916,Fabian Kolditz,13,NA,1,0
169,VfB Concordia Britz 1916,Patrick Wenke,29,IV,15,0
170,Berliner SV 1892,El-Amin Elsaadawi,17,ST,20,0
171,BSV Al-Dersimspor,Caglar Halici,NA,ST,1,0
172,BSV Al-Dersimspor,Hüseyin Ali Kaloglu,NA,IV,1,0
173,BSV Al-Dersimspor,Önder Senkaya,NA,NA,2,0
174,BSV Al-Dersimspor,Serdar Sezgin,NA,IV,2,0
175,SC Borsigwalde 1910,Marcel Knaack,NA,ST,11,0
176,TSV Rudow Berlin,Patrick Maykowski,20,RM,28,0
177,VfB Concordia Britz 1916,Tim Wenke,5,IV,15,0
178,SV Stern Britz 1889,Philipp Kemkes,NA,NA,3,0
179,Berliner SC II,Lukas Strehlke,NA,NA,1,0
180,Berliner SC II,Nelson Antoniofrancisco,7,LM,9,0
181,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
182,BFC Meteor 06,Yusuf Abouri,NA,RV,4,0
